Threshold	Precision	Recall	F1	ThreatScore
0.0000	0.0563	1.0000	0.1066	0.0563
0.0101	0.1590	0.8371	0.2673	0.1543
0.0202	0.2403	0.7651	0.3657	0.2237
0.0303	0.2873	0.7164	0.4102	0.2580
0.0404	0.3209	0.6940	0.4389	0.2811
0.0505	0.3468	0.6832	0.4601	0.2988
0.0606	0.3659	0.6677	0.4728	0.3096
0.0707	0.3817	0.6547	0.4822	0.3177
0.0808	0.3968	0.6444	0.4911	0.3255
0.0909	0.4100	0.6345	0.4981	0.3317
0.1010	0.4184	0.6263	0.5016	0.3348
0.1111	0.4280	0.6203	0.5065	0.3391
0.1212	0.4386	0.6155	0.5122	0.3443
0.1313	0.4468	0.6082	0.5152	0.3469
0.1414	0.4562	0.6017	0.5190	0.3504
0.1515	0.4627	0.5961	0.5210	0.3523
0.1616	0.4690	0.5927	0.5236	0.3547
0.1717	0.4775	0.5888	0.5273	0.3581
0.1818	0.4843	0.5841	0.5295	0.3601
0.1919	0.4896	0.5793	0.5307	0.3612
0.2020	0.4946	0.5737	0.5312	0.3617
0.2121	0.4998	0.5716	0.5333	0.3636
0.2222	0.5038	0.5668	0.5335	0.3638
0.2323	0.5074	0.5634	0.5339	0.3642
0.2424	0.5126	0.5599	0.5352	0.3654
0.2525	0.5182	0.5582	0.5375	0.3675
0.2626	0.5233	0.5573	0.5398	0.3696
0.2727	0.5271	0.5534	0.5399	0.3698
0.2828	0.5317	0.5491	0.5403	0.3701
0.2929	0.5359	0.5466	0.5412	0.3710
0.3030	0.5421	0.5440	0.5430	0.3727
0.3131	0.5492	0.5409	0.5451	0.3746
0.3232	0.5547	0.5379	0.5462	0.3757
0.3333	0.5602	0.5358	0.5477	0.3771
0.3434	0.5609	0.5323	0.5462	0.3757
0.3535	0.5653	0.5297	0.5470	0.3764
0.3636	0.5688	0.5276	0.5474	0.3768
0.3737	0.5728	0.5224	0.5464	0.3759
0.3838	0.5773	0.5198	0.5471	0.3765
0.3939	0.5796	0.5164	0.5462	0.3757
0.4040	0.5824	0.5121	0.5450	0.3745
0.4141	0.5856	0.5086	0.5444	0.3740
0.4242	0.5882	0.5060	0.5440	0.3736
0.4343	0.5895	0.5013	0.5418	0.3716
0.4444	0.5948	0.5004	0.5435	0.3732
0.4545	0.6006	0.4966	0.5437	0.3733
0.4646	0.6044	0.4940	0.5436	0.3733
0.4747	0.6049	0.4909	0.5420	0.3717
0.4848	0.6111	0.4884	0.5429	0.3726
0.4949	0.6128	0.4858	0.5420	0.3717
0.5051	0.6148	0.4823	0.5406	0.3704
0.5152	0.6172	0.4802	0.5401	0.3700
0.5253	0.6226	0.4793	0.5416	0.3714
0.5354	0.6274	0.4776	0.5423	0.3721
0.5455	0.6290	0.4750	0.5413	0.3710
0.5556	0.6323	0.4728	0.5411	0.3709
0.5657	0.6359	0.4720	0.5418	0.3716
0.5758	0.6387	0.4694	0.5411	0.3709
0.5859	0.6401	0.4668	0.5399	0.3698
0.5960	0.6440	0.4647	0.5398	0.3697
0.6061	0.6485	0.4621	0.5396	0.3695
0.6162	0.6508	0.4603	0.5393	0.3692
0.6263	0.6550	0.4582	0.5392	0.3691
0.6364	0.6582	0.4556	0.5385	0.3684
0.6465	0.6633	0.4526	0.5380	0.3680
0.6566	0.6673	0.4496	0.5372	0.3673
0.6667	0.6703	0.4487	0.5376	0.3676
0.6768	0.6727	0.4466	0.5368	0.3669
0.6869	0.6768	0.4405	0.5337	0.3640
0.6970	0.6779	0.4353	0.5302	0.3607
0.7071	0.6818	0.4332	0.5298	0.3603
0.7172	0.6810	0.4297	0.5270	0.3577
0.7273	0.6827	0.4276	0.5258	0.3567
0.7374	0.6882	0.4233	0.5242	0.3552
0.7475	0.6914	0.4220	0.5241	0.3551
0.7576	0.6951	0.4185	0.5225	0.3536
0.7677	0.6983	0.4151	0.5207	0.3520
0.7778	0.6971	0.4086	0.5152	0.3470
0.7879	0.7039	0.4047	0.5140	0.3459
0.7980	0.7042	0.4013	0.5113	0.3434
0.8081	0.7067	0.3935	0.5055	0.3383
0.8182	0.7111	0.3862	0.5006	0.3338
0.8283	0.7131	0.3793	0.4952	0.3291
0.8384	0.7202	0.3728	0.4913	0.3257
0.8485	0.7277	0.3685	0.4893	0.3239
0.8586	0.7293	0.3599	0.4820	0.3175
0.8687	0.7361	0.3547	0.4788	0.3147
0.8788	0.7420	0.3509	0.4764	0.3127
0.8889	0.7481	0.3457	0.4729	0.3097
0.8990	0.7546	0.3392	0.4680	0.3055
0.9091	0.7566	0.3323	0.4618	0.3002
0.9192	0.7648	0.3237	0.4549	0.2944
0.9293	0.7714	0.3142	0.4466	0.2875
0.9394	0.7769	0.3047	0.4378	0.2802
0.9495	0.7924	0.2961	0.4311	0.2748
0.9596	0.8086	0.2823	0.4185	0.2646
0.9697	0.8235	0.2655	0.4016	0.2512
0.9798	0.8475	0.2371	0.3705	0.2274
0.9899	0.8956	0.2034	0.3316	0.1987
1.0000	1.0000	0.0013	0.0026	0.0013
